biome_lineage,biome_name,sample_accession,host_scientific_name,run_accession,experiment_type
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751257,Hermetia illucens,SRR14298186,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751254,Hermetia illucens,SRR14298188,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751252,Hermetia illucens,SRR14298190,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751253,Hermetia illucens,SRR14298191,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751251,Hermetia illucens,SRR14298192,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751250,Hermetia illucens,SRR14298193,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751249,Hermetia illucens,SRR14298194,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751247,Hermetia illucens,SRR14298195,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751248,Hermetia illucens,SRR14298196,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751241,Hermetia illucens,SRR14298202,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751239,Hermetia illucens,SRR14298204,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751238,Hermetia illucens,SRR14298205,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751236,Hermetia illucens,SRR14298207,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751234,Hermetia illucens,SRR14298209,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751228,Hermetia illucens,SRR14298214,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751227,Hermetia illucens,SRR14298215,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751230,Hermetia illucens,SRR14298216,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751226,Hermetia illucens,SRR14298217,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751269,Hermetia illucens,SRR14298174,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751264,Hermetia illucens,SRR14298178,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751262,Hermetia illucens,SRR14298181,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751259,Hermetia illucens,SRR14298184,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751256,Hermetia illucens,SRR14298187,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751255,Hermetia illucens,SRR14298189,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751243,Hermetia illucens,SRR14298200,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751237,Hermetia illucens,SRR14298206,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751233,Hermetia illucens,SRR14298210,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751232,Hermetia illucens,SRR14298211,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751272,Hermetia illucens,SRR14298171,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751271,Hermetia illucens,SRR14298172,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751268,Hermetia illucens,SRR14298175,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751267,Hermetia illucens,SRR14298176,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751265,Hermetia illucens,SRR14298180,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751258,Hermetia illucens,SRR14298185,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751246,Hermetia illucens,SRR14298197,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751245,Hermetia illucens,SRR14298198,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751244,Hermetia illucens,SRR14298199,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751242,Hermetia illucens,SRR14298201,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751240,Hermetia illucens,SRR14298203,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751235,Hermetia illucens,SRR14298208,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751231,Hermetia illucens,SRR14298212,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751229,Hermetia illucens,SRR14298213,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751225,Hermetia illucens,SRR14298218,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751270,Hermetia illucens,SRR14298173,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751266,Hermetia illucens,SRR14298177,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751263,Hermetia illucens,SRR14298179,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751261,Hermetia illucens,SRR14298182,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS8751260,Hermetia illucens,SRR14298183,amplicon
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094624,Apis mellifera,SRR16972395,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094610,Apis mellifera,SRR16972409,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094606,Apis mellifera,SRR16972413,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094601,Apis mellifera,SRR16972418,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094632,Apis mellifera,SRR16972387,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094628,Apis mellifera,SRR16972391,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094617,Apis mellifera,SRR16972402,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573710,,SRR6148366,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094614,Apis mellifera,SRR16972405,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573708,,SRR6148368,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094605,Apis mellifera,SRR16972414,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573712,,SRR6148364,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094620,Apis mellifera,SRR16972399,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573705,,SRR6148371,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094596,Apis mellifera,SRR16972423,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573703,,SRR6148373,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094597,Apis mellifera,SRR16972422,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573697,,SRR6148379,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094633,Apis mellifera,SRR16972386,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573709,,SRR6148367,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094611,Apis mellifera,SRR16972408,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573699,,SRR6148377,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094613,Apis mellifera,SRR16972406,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573700,,SRR6148376,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094604,Apis mellifera,SRR16972415,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573706,,SRR6148370,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094625,Apis mellifera,SRR16972394,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573707,,SRR6148369,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094627,Apis mellifera,SRR16972392,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573704,,SRR6148372,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094622,Apis mellifera,SRR16972397,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573702,,SRR6148374,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094621,Apis mellifera,SRR16972398,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573701,,SRR6148375,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094630,Apis mellifera,SRR16972389,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573711,,SRR6148365,metatranscriptomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094629,Apis mellifera,SRR16972390,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094609,Apis mellifera,SRR16972410,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS2573698,,SRR6148378,metatranscriptomic
